source_group,feature_group,disposition,ranker_use,evidence_and_limitations,files_in_catalog
SINAN_TB,F0,RETAINED_IN_FINAL_MODEL,True,V15 exact reconciled national surveillance core; reverified by hash.,77
GEOGRAPHY_POPULATION,F0,RETAINED_IN_FINAL_MODEL,True,"Locked 5,570-municipality, 439-region analytical geography and origin-safe denominators.",77
CNES,F1,SCREEN_PENDING,False,Validated annual December Parquet exists and requires identical-row ablation.,788
SIA_OUTPATIENT,F2,REQUEST_REQUIRED_NOT_AVAILABLE,False,No validated national SIA extract found locally after exact-path census.,8855
SIH_HOSPITAL,F3,REQUEST_REQUIRED_NOT_AVAILABLE,False,No validated national SIH extract found locally after exact-path census.,7
SIM_MORTALITY,F4,SCREEN_PENDING,False,National mortality archives through 2024 are local; conservative publication lag will be enforced.,63
APS_PMMB_PREVINE_UBS,F5,SCREEN_PENDING,False,Municipality-level PMMB historical series is local and temporally indexed.,10094
SISDEPEN,F6,RETAINED_FOR_PROSPECTIVE_CONTEXT_ONLY,False,Only a 2025-2 wave retrieved in 2026; insufficient retrospective temporal coverage.,89
CENSUS_SOCIAL_ECONOMIC,F7,RETAINED_FOR_PROSPECTIVE_CONTEXT_ONLY,False,Census 2022 municipal aggregate releases staged in 2025-2026 cannot be backfilled into earlier origins.,81
REGIC_MOBILITY,F8,SCREEN_PENDING,False,Official REGIC 2018 directed connections and dictionary are locally readable.,51
CLIMATE,F9,SCREEN_PENDING,False,INMET hourly archives exist for 2017-2024; monthly lagged aggregation is feasible.,30
LAND_USE_OTHER,F10,EXCLUDED_INVALID_OR_JUNK,False,No specifically validated origin-aligned analytical land-use/transport series; broad-crawl assets are invalid.,3
GENOMICS,F10,EXCLUDED_INSUFFICIENT_TEMPORAL_COVERAGE,False,Search-page assets do not form a representative origin-safe regional genomic panel.,64
WHO_CONTEXT,CONTEXT,RETAINED_FOR_PROSPECTIVE_CONTEXT_ONLY,False,"WHO Global TB Report 2025 is national context, not a subnational predictive feature.",904
V10_REFERENCE,REFERENCE,EXCLUDED_DUPLICATE_OR_SUPERSEDED,False,Exact V10 baseline is registered; V15/V16 canonical artifacts supersede duplicate copies.,2691
V13_V14_V15_REFERENCE,REFERENCE,EXCLUDED_DUPLICATE_OR_SUPERSEDED,False,V15 is the immutable validated baseline; older duplicate packages are lineage only.,6878
OTHER_AUDIT_ASSET,NONE,EXCLUDED_INVALID_OR_JUNK,False,Non-analytical software/cache/web assets are retained only in the census.,1357
